Time,Hour,Open,High,Low,Close
2017-06-11 21:00,21,1.12087,1.1232,1.11919,1.11919
2017-06-12 21:00,21,1.12038,1.1225,1.11854,1.11854
2017-06-13 21:00,21,1.1207,1.12959,1.11932,1.11932
2017-06-14 21:00,21,1.12179,1.12285,1.11323,1.11323
2017-06-15 21:00,21,1.11465,1.12017,1.11386,1.11386
2017-06-18 21:00,21,1.12078,1.12103,1.12062,1.12062
